"Qty";"Value";"Device";"Package";"Parts";"Description";"MANUFACTURER_PART_NUMBER";"PINS";"PIN_PITCH";"PROD_ID";"SF_ID";"SF_SKU";"VALUE";"VENDOR";
"1";"";"LED0603";"LED-0603";"D1";"LED (Generic)";"";"";"";"";"";"";"";"";
"5";"";"PINHD-1X3";"1X03";"1, 2, 3, SER, THR";"PIN HEADER";"";"";"";"";"";"";"";"";
"2";"";"PINHD-1X4";"1X04";"ENCODER, IMU";"PIN HEADER";"";"";"";"";"";"";"";"";
"29";"0.1uF";"C-USC0603";"C0603";"C2, C5, C9, C10, C12, C13, C15, C16, C18, C19, C22, C23, C26, C27, C28, C31, C32, C33, C34, C35, C36, C37, C39, C40, C41, C42, C49, C59, C60";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"1";"0.22uF";"C-USC0603";"C0603";"C1";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"1";"1.0nF";"C-USC0603";"C0603";"C6";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"1";"10";"R-US_R0603";"R0603";"R29";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"10000pF";"C-USC0603";"C0603";"C45";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"4";"1000pF";"C-USC0603";"C0603";"C8, C11, C14, C17";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"9";"10k";"R-US_R0603";"R0603";"R1, R2, R7, R18, R19, R21, R22, R27, R43";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"6";"10uF";"C-USC0603";"C0603";"C3, C4, C7, C38, C43, C61";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"4";"150uF";"CPOL-USE3.5-8";"E3,5-8";"C20, C21, C24, C25";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"1";"16MHz";"RESONATOR-16MHZSMD_3.2X1.3";"RESONATOR-SMD-3.2X1.3";"Y1";"16MHz Resonator";"";"";"";"XTAL-08900";"";"";"16MHz";"";
"2";"18pF";"C-USC0603";"C0603";"C29, C30";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"6";"1M";"R-US_R0603";"R0603";"R8, R9, R10, R11, R12, R26";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"1uF";"C-USC0603";"C0603";"C48";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"1";"2-PIN_2MM-V";"2-PIN_2MM-V";"2MM-2-V";"J1";"";"";"2";"2.0 mm";"";"";"";"";"";
"6";"220@100MHz";"FERRITE_BEAD-0603";"0603";"FB1, FB2, FB3, FB4, FB5, FB6";"Ferrite Bead (blocks, cores, rings, chokes, etc.)";"";"";"";"NDUC-07859";"";"";"30O/1.8A";"";
"1";"22uF";"C-USC0603";"C0603";"C47";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"1";"24MHz";"CRYSTAL-24MHZ"";"CRYSTAL-SMD-5X3.2-4PAD";"Y2";"24MHz Crystal";"";"";"";"XTAL-08298";"COM-08581";"";"24MHz";"";
"2";"25.5k";"R-US_R0603";"R0603";"R17, R20";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"8";"4.7k";"R-US_R0603";"R0603";"R4, R5, R13, R14, R15, R16, R24, R25";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"2";"4.7uF";"C-USC0603";"C0603";"C44, C46";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";
"1";"500";"R-US_R0603";"R0603";"R28";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"680";"R-US_R0603";"R0603";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"74VHC_MUXSO16";"74VHC_MUXSO16";"SO16";"U2";"";"";"";"";"";"";"";"";"";
"1";"9.53k";"R-US_R0603";"R0603";"R23";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"90.9k";"R-US_R0603";"R0603";"R6";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";
"1";"ADP1706ARDZ-1.1-R7";"ADP1706ARDZ-1.1-R7";"SOIC8";"U4";"";"";"";"";"";"";"";"";"";
"1";"ATMEGA328P_TQFP";"ATMEGA328P_TQFP";"TQFP32-08";"U1";"Popular 328P in QFP";"";"";"";"IC-09069";"";"";"ATMEGA328P_TQFP";"";
"1";"ATTINY441/841SSU/SSUR";"ATTINY441/841SSU/SSUR";"SOIC-14";"U8";"";"";"";"";"";"";"";"";"";
"1";"AZ1117CR-3.3TRG1DICT-ND";"AZ1117CR-3.3TRG1DICT-ND";"SOT89R_INFINEON";"U$8";"";"";"";"";"";"";"";"";"";
"1";"J12HEADER_(JOULE)";"J12HEADER_(JOULE)";"2X20";"X1";"";"";"";"";"";"";"";"";"";
"1";"J13HEADER_(JOULE)";"J13HEADER_(JOULE)";"2X20";"X2";"";"";"";"";"";"";"";"";"";
"1";"LM340S-05";"LM340S-05";"TO263-3";"IC3";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";
"1";"MOMENTARY-SWITCH 5.2mm";"MOMENTARY-SWITCH-SPST-SMD-5.2MM";"TACTILE_SWITCH_SMD_5.2MM";"S1";"Momentary Switch (Pushbutton) - SPST";"";"";"";"SWCH-08247";"";"COM-08720";"";"";
"1";"N_CH_MOSFET_FDLBL260N100";"N_CH_MOSFET_FDLBL260N100";"MO-299A";"Q1";"";"";"";"";"";"";"";"";"";
"1";"RFM69CW";"RFM69CW";"RFM69CW-XXXS2";"U3";"";"";"";"";"";"";"";"";"";
"1";"SMBJ13CA";"SMBJ13CA";"SMB";"CR1";"";"SMBJ13CA";"";"";"";"";"";"";"Bourns Electronics";
"2";"TPS2561DRCT";"TPS2561DRCT";"10-VSON";"U$10, U$11";"";"";"";"";"";"";"";"";"";
"2";"TRAXXAS-CON";"TRAXXAS-CON";"TRAXXAS-CON";"X4, X5";"";"";"";"";"";"";"";"";"";
"1";"TUSB4041";"TUSB4041";"TQFP64-10X10";"U$1";"";"";"";"";"";"";"";"";"";
"1";"TXB0108PWR";"TXB0108PWR";"PW20";"U9";"";"TXB0108PWR";"";"";"";"";"";"";"Texas Instruments";
"5";"USB_TYPE_A";"USB_TYPE_A";"USB_TYPE_A";"U$3, U$4, U$5, U$6, U$7";"";"";"";"";"";"";"";"";"";
"1";"ZXGD3009DY";"ZXGD3009DY";"SOT363";"U10";"";"";"";"";"";"";"";"";"";
"1";"antenna";"PINHD-1X1";"1X01";"JP6";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";
