On-board parts,Part Number,Per board,Needed,Have before soldering radios 2-4,Need,Buy,,Off-board parts,Part Number,Needed per board,Have,,,
ATMEGA,ATMEGA32U4-AU,1,3,4,0,,,Go button,CW232-ND,1,2,,,
RFM69HCW - 915MHz,1568-1394-ND,1,3,2,1,2,,Stop button,CW233-ND,1,2,,,
3.3V regulator,296-39452-1-ND,1,3,1,2,3,,Power switch,EG5617-ND,1,1,,,
10uH inductor,587-2886-1-ND,1,3,1,2,3,,Other switch,CWI335-ND,1,1,,,
47uF ceramic,587-1780-1-ND,2,6,8,0,,,Red 5mm THT LED,C503B-RAN-CA0C0AA1-ND,1,2,,,
4.7uF ceramic,1276-1044-1-ND,5,15,4,11,15,,Blue 5mm THT LED,C503B-BAN-CY0C0461-ND,1,2,,,
1uF ceramic,1276-1866-1-ND,1,3,10,0,,,Yellow 5mm THT LED,365-1183-ND,1,2,,,
0.1uF ceramic,1276-1000-1-ND,6,18,4,0,,,Green 5mm THT LED,C503B-GAN-CB0F0791-ND,1,2,,,
10nF ceramic,732-8007-1-ND,1,3,9,0,,,Straight antenna,,1,5+,,,Have
9pF, 1276-2142-1-ND ,2,6,8,0,,,Right-angle SMA cable,CBA-SMAMR-SMAF-ND,1,2,,,
22 ohm resistor,2019-RK73B1JTTD220JCT-ND ,2,6,8,0,,,LiPo charger,www.adafruit.com/product/1944,1,2,,,
220 ohm resistor,A130087CT-ND,1,3,,0,,,2000 mAh LiPo,adafruit.com/product/2011,1,2,,,
330 ohm resistor,CR0603-JW-331ELFCT-ND,5,15,6,0,,,3.5mm Screw terminals for LiPo charger,www.adafruit.com/product/724 ,1,,,,Power out of charger
10k resistor,RMCF0603JT10K0CT-ND,3,9,,0,,,2.5mm screw terminals for low batt light,www.adafruit.com/product/2136,1,,,,Low battery light
USB header,H2960CT-ND ,1,3,2,0,,,9-pin screw terminal for PCB,www.adafruit.com/product/2134,1,,,,
reset button,401-1426-1-ND,1,3,1,2,5,,,,,,,,
Crystal,SER4070CT-ND,1,3,,3,5,,,,,,,,
Level shifter,296-20631-1-ND,1,3,5,0,,,,,,,,,
Green LED,732-4971-1-ND,2,6,2,4,6,,,,,,,,
Blue LED,732-4966-1-ND,1,3,2,1,3,,,,,,,,
Yellow LED,732-4981-1-ND,1,3,2,1,3,,,,,,,,
RF SMA PCB connector,A97594-ND,1,3,1,2,3,,,,,,,,
300mA Schottky diode,NSR0530HT1GOSCT-ND,1,3,2,1,2,,,,,,,,
300mA fuse,507-1797-1-ND,1,3,12,0,"200mA hold, 400mA trip",,,,,,,,
,,,,,,,,,,,,,,
Antenna,,1,3,5+,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Not in design:,,,,,,,,,,,,,,
LoRa radio,1597-1488-ND,,,,,,,,,,,,,
External Watchdog,APX823-31W5GDICT-ND,,,,,,,,,,,,,
Mux,MC74HC157ADGOS-ND,,,,,,,,,,,,,
SR latch,296-31498-1-ND,,,,,,,,,,,,,
