"Part";"Value";"Device";"Package";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PINS";"PIN_PITCH";"PROD_ID";"SF_ID";"SPICEPREFIX";"VALUE";
"C1";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"C2";"1uF";"CAP0805";"0805";"Capacitor";"";"";"";"";"";"";"";"";"";"";
"J1";"MAGJACK";"MAGJACK";"MAGJACK";"MAGJACK: RJ-45 with LEDs";"";"";"";"";"";"";"CONN-09556";"PRT-08534";"";"";
"JP1";"POWER_JACK";"POWER_JACK";"POWER_JACK_PTH";"Power Jack Connector";"";"";"";"";"";"";"CONN-08197";"";"";"";
"MBED";"MBED1768";"MBED_NXP_LPC1768";"DIL40_0.9";"mbed LPC1768 board footprint";"";"";"";"";"";"";"COMP-12167";"";"";"MBED1768";
"OK1";"MOCD208M";"MOCD208M";"SOIC08-FAIRCHILD";"MOCD207M, MOCD208M Dual Channel Phototransistor Small Outline Surface Mount Optocouplers";"FAIRCHILD SEMICONDUCTOR";"MOCD208M";"1505465";"34C7498";"";"";"";"";"";"";
"Q1";"";"MOSFET-NCH-BSS138";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"";"";"TRANS-00830";"";"";"220mA/50V/3.5Ω";
"Q2";"";"MOSFET-NCH-BSS138";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"";"";"TRANS-00830";"";"";"220mA/50V/3.5Ω";
"Q3";"";"MOSFET-NCH-BSS138";"SOT23-3";"N-channel MOSFETs";"";"";"";"";"";"";"TRANS-00830";"";"";"220mA/50V/3.5Ω";
"R1";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R2";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R3";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R4";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R5";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R6";"1k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R7";"340";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R8";"47";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R9";"47";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R10";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"R11";"10k";"R-US_R0603";"R0603";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"R";"";
"X1";"E-STOP";"2-PIN_2MM-V";"2MM-2-V";"";"";"";"";"";"2";"2.0 mm";"";"";"";"";
"X2";"NEOPIXEL";"2-PIN_2MM-V";"2MM-2-V";"";"";"";"";"";"2";"2.0 mm";"";"";"";"";
"X3";"ENCODER";"5-PIN_2MM-V";"2MM-5-V";"";"";"";"";"";"5";"2.0 mm";"";"";"";"";
"X4";"STEER_POT";"3-PIN_2MM-V";"2MM-3-V";"";"";"";"";"";"3";"2.0 mm";"";"";"";"";
"X5";"STEER";"2-PIN_2MM-V";"2MM-2-V";"";"";"";"";"";"2";"2.0 mm";"";"";"";"";
"X6";"OSMC";"2510-";"PAK100/2500-10";"3M (TM) Pak 100 4-Wall Header";"3M";"2510-6002UB";"9838244";"46F4725";"";"";"";"";"";"";
